movie_id,character,actor
4929,Marshal Jed Cooper,Clint Eastwood
4929,Rachel Warren,Inger Stevens
4929,Captain Wilson,Ed Begley
4929,Judge Adam Fenton,Pat Hingle
4929,Marshal Dave Bliss,Ben Johnson
4929,Miller,Bruce Dern
4929,Sheriff Ray Calhoun,Charles McGraw
4929,Madame Sophie,Ruth White
4929,Matt Stone,Alan Hale Jr.
4929,Loomis,L.Q. Jones
5721,Vixen Palmer,Erica Gavin
5721,Tom Palmer,Garth Pillsbury
5721,Niles,Harrison Page
5721,Judd,Jon Evans
5721,Janet King,Vincene Wallace
5721,Dave King,Robert Aiken
5721,O`Bannion,Michael Donovan O'Donnell
5721,Mountie,Peter Carpenter
5721,Sam,John Furlong
5721,Tourist,Jackie Illman
335,Frank,Henry Fonda
335,Jill McBain,Claudia Cardinale
335,Cheyenne,Jason Robards
335,Harmonica,Charles Bronson
335,Morton (railroad baron),Gabriele Ferzetti
335,Sam,Paolo Stoppa
335,Stony (member of Frank's gang),Woody Strode
335,Snaky (member of Frank's gang),Jack Elam
335,Sheriff,Keenan Wynn
335,Brett McBain,Frank Wolff
26170,Coogan,Clint Eastwood
26170,Lt. McElroy,Lee J. Cobb
26170,Julie,Susan Clark
26170,Linny Raven,Tisha Sterling
26170,Ringerman,Don Stroud
26170,Sheriff McCrea,Tom Tully
26170,Mrs. Ringerman,Betty Field
26170,Millie,Melodie Johnson
26170,Sgt. Jackson,James Edwards
26170,Running Bear,Rudy Diaz
39209,Moses Zebulon 'Shalako' Carlin,Sean Connery
39209,Countess Irina Lazaar,Brigitte Bardot
39209,Sir Charles Daggett,Jack Hawkins
39209,Bosky Fulton,Stephen Boyd
39209,Baron Frederick Von Hallstatt,Peter van Eyck
39209,Lady Julia Daggett,Honor Blackman
39209,Chato,Woody Strode
39209,Henry Clarke,Alexander Knox
39209,Mako,Eric Sykes
39209,Elena Clarke,Valerie French
8069,Barbarella,Jane Fonda
8069,Pygar,John Phillip Law
8069,The Great Tyrant,Anita Pallenberg
8069,Professor Ping,Marcel Marceau
8069,President of Earth,Claude Dauphin
8069,Concierge / Durand-Durand,Milo O'Shea
8069,Captain Moon,Véronique Vendell
8069,Captain Sun,Serge Marquand
8069,Stomoxys,Catherine Chevallier
8069,Glossina,Marie Therese Chevallier
3054,Matt Helm,Dean Martin
3054,Linka Karensky,Elke Sommer
3054,Freya Carlson,Sharon Tate
3054,Yu-Rang,Nancy Kwan
3054,Contini,Nigel Green
3054,Lola Medina,Tina Louise
3054,Guard (uncredited),Ed Parker
3054,Miss Milkmaid,Cara Peters
3054,Man in the House of 7 Joys (uncredited),Chuck Norris
29146,Charlie Gordon,Cliff Robertson
29146,Alice Kinian,Claire Bloom
29146,Dr. Anna Straus,Lilia Skala
29146,Dr. Richard Nemur,Leon Janney
29146,Mrs. Apple,Ruth White
29146,Bert,Dick Van Patten
29146,Gimpy,Edward McNally
29146,Hank,Barney Martin
642,Butch Cassidy,Paul Newman
642,Sundance Kid,Robert Redford
642,Etta Place,Katharine Ross
642,Percy Garris,Strother Martin
642,Bike Salesman,Henry Jones
642,Sheriff Ray Bledsoe,Jeff Corey
642,Woodcock,George Furth
642,Agnes,Cloris Leachman
642,Harvey Logan,Ted Cassidy
642,Marshal,Kenneth Mars
668,James Bond,George Lazenby
668,Tracy Di Vicenzo,Diana Rigg
668,Ernst Stavro Blofeld,Telly Savalas
668,Marc Ange Draco,Gabriele Ferzetti
668,Irma Bunt,Ilse Steppat
668,Ruby Bartlett,Angela Scoular
668,Miss Moneypenny,Lois Maxwell
668,Sir Hilary Bray,George Baker
668,M,Bernard Lee
3116,'Ratso' Rizzo,Dustin Hoffman
3116,Joe Buck,Jon Voight
3116,Cass,Sylvia Miles
3116,Mr. O'Daniel,John McGiver
3116,Shirley,Brenda Vaccaro
3116,Towny,Barnard Hughes
3116,Sally Buck - Texas,Ruth White
