adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count
FALSE,/eKXTOIqSFrfN8WTTxrzHMBNiUpB.jpg,"[10751, 16, 12, 35]",5559,en,Bee Movie,"Barry B. Benson, a bee who has just graduated from college, is disillusioned at his lone career choice: making honey. On a special trip outside the hive, Barry's life is saved by Vanessa, a florist in New York City. As their relationship blossoms, he discovers humans actually eat honey, and subsequently decides to sue us.",2.955052,/QhbOzpYfBOwrRiuTu9otPk919R.jpg,10/28/2007,Bee Movie,FALSE,5.7,966
FALSE,/uSWzHRan14Kxe7AgbA43CSN1fXw.jpg,"[18, 80]",4982,en,American Gangster,"Following the death of his employer and mentor, Bumpy Johnson, Frank Lucas establishes himself as the number one importer of heroin in the Harlem district of Manhattan. He does so by buying heroin directly from the source in South East Asia and he comes up with a unique way of importing the drugs into the United States. Based on a true story.",3.161366,/uDSP5H5akJ85xMGSHRtaqHGBRLD.jpg,11/2/2007,American Gangster,FALSE,7.4,1338
FALSE,/n4wRGNrMblEywTZXnt88W54tYkU.jpg,"[28, 35, 80, 53]",5174,en,Rush Hour 3,"After an attempted assassination on Ambassador Han, Inspector Lee and Detective Carter are back in action as they head to Paris to protect a French woman with knowledge of the Triads' secret leaders. Lee also holds secret meetings with a United Nations authority, but his personal struggles with a Chinese criminal mastermind named Kenji, which reveals that it's Lee's long-lost...brother.",2.127938,/qgaDWYLrnEPJpc5Lp35WbgX7GfS.jpg,8/8/2007,Rush Hour 3,FALSE,6.1,660
FALSE,/9tayGegNltU7dIwa6ZGFuEFofbP.jpg,"[28, 12, 35]",11199,en,Wild Hogs,"Restless and ready for adventure, four suburban bikers leave the safety of their subdivision and head out on the open road. But complications ensue when they cross paths with an intimidating band of New Mexico bikers known as the Del Fuegos.",2.284984,/auKcnTuYtB7v1t4yLC4y29ZwyTq.jpg,3/2/2007,Wild Hogs,FALSE,5.6,532
FALSE,/nnMC0BM6XbjIIrT4miYmMtPGcQV.jpg,"[18, 28, 80, 53]",155,en,The Dark Knight,"Batman raises the stakes in his war on crime. With the help of Lt. Jim Gordon and District Attorney Harvey Dent, Batman sets out to dismantle the remaining criminal organizations that plague the streets. The partnership proves to be effective, but they soon find themselves prey to a reign of chaos unleashed by a rising criminal mastermind known to the terrified citizens of Gotham as the Joker.",12.909324,/1hRoyzDtpgMU7Dz4JF22RANzQO7.jpg,7/16/2008,The Dark Knight,FALSE,8.2,10418
FALSE,/wJByCdlvHxoAvmktWaI2jSNzHbl.jpg,"[12, 28]",217,en,Indiana Jones and the Kingdom of the Crystal Skull,"Set during the Cold War, the Soviets – led by sword-wielding Irina Spalko – are in search of a crystal skull which has supernatural powers related to a mystical Lost City of Gold. After being captured and then escaping from them, Indy is coerced to head to Peru at the behest of a young man whose friend – and Indy's colleague – Professor Oxley has been captured for his knowledge of the skull's whereabouts.",4.857979,/qY1x6v5daMDTr904G3y84WVgpfC.jpg,5/21/2008,Indiana Jones and the Kingdom of the Crystal Skull,FALSE,5.7,2096
FALSE,/UJwhgwAxU42cm9XKncO9boFAEV.jpg,"[12, 16, 10751, 35]",9502,en,Kung Fu Panda,"When the Valley of Peace is threatened, lazy Po the panda discovers his destiny as the ""chosen one"" and trains to become a kung fu hero, but transforming the unsleek slacker into a brave warrior won't be easy. It's up to Master Shifu and the Furious Five -- Tigress, Crane, Mantis, Viper and Monkey -- to give it a try.",5.83598,/2Paj1nufT0jeSY0G4u3RC31HIGT.jpg,6/4/2008,Kung Fu Panda,FALSE,6.9,2519
FALSE,/2v7jw4jcyubQJhAFPmN01w9kg1t.jpg,"[14, 28]",8960,en,Hancock,"Hancock is a down-and-out superhero who's forced to employ a PR expert to help repair his image when the public grows weary of all the damage he's inflicted during his lifesaving heroics. The agent's idea of imprisoning the antihero to make the world miss him proves successful, but will Hancock stick to his new sense of purpose or slip back into old habits?",3.953456,/dsCxSr4w3g2ylhlZg3v5CB5Pid7.jpg,7/1/2008,Hancock,FALSE,6.1,2444
FALSE,/txtRue33MaXv5HQpTiHPOmOcDxE.jpg,"[35, 10749]",11631,en,Mamma Mia!,"Set on an idyllic Greek island, the plot serves as a background for a wealth of ABBA hit songs. Donna, an independent, single mother who owns a small hotel on the island is about to let go of Sophie, the spirited young daughter she's raised alone. But Sophie has secretly invited three of her mother's ex-lovers in the hopes of finding her father.",4.801653,/husdvXT5x3TDrYBx9nTWGAMZKVY.jpg,6/30/2008,Mamma Mia!,FALSE,6.4,1121
FALSE,/anxiz37Z9FPKeuCsJcxViSWmPxg.jpg,"[10751, 16]",10527,en,Madagascar: Escape 2 Africa,"Alex, Marty, Melman, Gloria, King Julien, Maurice, the penguins and the chimps are back and still marooned on Madagascar. In the face of this obstacle, the New Yorkers have hatched a plan so crazy it just might work. With military precision, the penguins have repaired an old crashed plane... sort of.",3.052396,/9mohxwknsHcwFBSAAhoQXwFV5zn.jpg,10/30/2008,Madagascar: Escape 2 Africa,FALSE,6.1,1487
