,adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count,character0,character1,character2
188,False,/liBsuBCVx4FMGTCckxkmZdOzrpF.jpg,"[28, 53, 9648]",11963,en,Three Days of the Condor,"A bookish CIA researcher finds all his co-workers dead, and must outwit those responsible until he figures out who he can really trust.",2.974632,/gbd3kO5kANvFrgPyxB0p6RNsOQC.jpg,1975-09-24,Three Days of the Condor,False,6.72,102,Joseph Turner,Kathy Hale,J. Higgins
189,False,,[],78353,en,Lucky Lady,"From Wikipedia, the free encyclopedia: Lucky Lady is a 1975 American film directed by Stanley Donen and starring Gene Hackman, Liza Minnelli and Burt Reynolds, with Robby Benson. Its story takes place during Prohibition in the United States in the year 1930. Gene Hackman initially did not want to do the film, but 20th Century Fox kept offering him more and more money. Finally, Fox offered him $1.25 million, and according to talent agent Sue Mengers, ""it was almost obscene for him not to do the film.""",1.043286,/pzCXvMnLSl6xEiGn2X5qKf6szRR.jpg,1975-12-25,Lucky Lady,False,0.0,0,Claire,Walker,Kibby
190,False,/4BjctuF1OzTYPLNHbu694MXvWXM.jpg,"[28, 12, 18]",19740,en,The Great Waldo Pepper,A biplane pilot who had missed flying in WWI takes up barnstorming and later a movie career in his quest for the glory he had missed...,1.14711,/y6ECSujrLzWeDnlePcPxHJaNMUH.jpg,1975-03-13,The Great Waldo Pepper,False,6.0,3,Waldo Pepper,Mary Beth,Newt
191,False,/3xmKw9OSbUrg7GCyhvpMuAXLjRh.jpg,"[18, 10749, 10752]",3175,en,Barry Lyndon,"In the Eighteenth Century, in a small village in Ireland, Redmond Barry is a young farm boy in love with his cousin Nora Brady. When Nora engages to the British Captain John Quin, Barry challenges him for a duel of pistols. He wins and escapes to Dublin, but is robbed on the road. Without any other alternative, Barry joins the British Army to fight in the Seven Years War.",1.962432,/cGr3Psreme0J3OaM1ZOEngfw2BR.jpg,1975-12-18,Barry Lyndon,False,7.06,220,Barry Lyndon,Lady Lyndon,Capt. Potzdorf
192,False,/5pE0qyILO2JOa9tUen8tNS36olO.jpg,"[12, 14, 878, 10751]",14821,en,Escape to Witch Mountain,"Tia and Tony are two orphaned youngsters with extraordinary powers. Lucas Deranian poses as their uncle in order to get the kids into the clutches of Deranian's megalomaniacal boss, evil millionaire Aristotle Bolt, who wants to exploit them. Jason, a cynical widower, helps Tia and Tony escape to witch mountain, while at the same time Tia and Tony help Jason escape the pain of the loss of his wife.",1.31735,/3D4XNaaBZcHajoA6hcaeu1NLWxf.jpg,1975-03-21,Escape to Witch Mountain,False,6.44,33,Tia Malone,Aristotle Bolt,Lucas Deranian
193,False,/AfkACKbBjBKViIh1XhGLbXb0GOX.jpg,"[28, 12, 80, 18, 9648, 53]",20187,en,The Eiger Sanction,"A classical art professor and collector, who doubles as a professional assassin, is coerced out of retirement to avenge the murder of an old friend.",1.792034,/q1GB9vhp2WgnCTxo4PqNAo5yG9u.jpg,1975-05-21,The Eiger Sanction,False,6.11,31,Dr. Jonathan Hemlock,Ben Bowman,Jemima Brown
194,False,/ukzMrXKHp9qhPBBpjDixuFmm3gJ.jpg,"[28, 80, 18, 53]",10711,en,French Connection II,"""Popeye"" Doyle travels to Marsailles to find Alain Charnier, the drug smuggler that eluded him in New York.",1.413442,/xCRK4tYNPLagqZx4MtjMzLiQCGl.jpg,1975-05-18,French Connection II,False,6.1,39,Doyle,Alain Charnier,Barthélémy
195,False,/uO7wQWkN4MLjnGMrgPwe8bJPIjA.jpg,[37],17538,en,Rooster Cogburn,"In this sequel to True Grit, John Wayne returns as Marshal Rooster Cogburn. After a band of drunken thugs overruns a small Indian Nation town, killing Minister Goodnight and raping the women folk, Eula Goodnight (Katherine Hepburn) enlists the aid of Marshal Cogburn to hunt them down and bring her father's killers to justice.",1.632564,/hEbyoXVk0GYBLEJhV0MZ1F41vww.jpg,1975-10-17,Rooster Cogburn,False,5.56,17,"Reuben J. ""Rooster"" Cogburn",Eula Goodnight,Breed
196,False,/6fqmcCVci3cSBCgJw8NGXE4ST8G.jpg,"[12, 35, 14]",762,en,Monty Python and the Holy Grail,"Monty Python and the Holy Grail loosely follows the legend of King Arthur. Arthur along with his squire, Patsy, recruits his Knights of the Round Table, including Sir Bedevere the Wise, Sir Lancelot the Brave, Sir Robin the Not-Quite-So-Brave-As-Sir-Lancelot and Sir Galahad the Pure. On the way Arthur battles the Black Knight who, despite having had all his limbs chopped off, insists he can still fight. They reach Camelot, but Arthur decides not  to enter, as ""it is a silly place"".",3.581874,/jRx1nDUA4sb2NEKQaukXKBz6pCf.jpg,1975-03-13,Monty Python and the Holy Grail,False,7.6,1015,King Arthur / Voice of God / Middle Head / Hiccoughing Guard,Second Swallow-Savvy Guard / The Black Knight / Peasant 3 / Sir Lancelot the Brave / Taunting French Guard / Tim the Enchanter,Dead Collector / Peasant 1 / Sir Robin the Not-Quite-So-Brave-as-Sir Launcelot / First Swamp Castle Guard / Concorde / Roger the Shrubber / Brother Maynard
197,False,/cjvYMOIvPudHCgl2giPEugvbZDi.jpg,[18],22094,en,Hard Times,"In the depression, Chaney, a strong silent streetfighter, joins with Speed, a promoter of no-holds-barred street boxing bouts. They go to New Orleans where Speed borrows money to set up fights for Chaney, but Speed gambles away any winnings.",1.630477,/icKkYTBR5wowj9ZLpsMukVfG13H.jpg,1975-09-04,Hard Times,False,5.81,13,Chaney,Spencer 'Speed' Weed,Lucy Simpson
